datetime,Seattle
2012-10-01 12:00:00,
2012-10-01 13:00:00,281.8
2012-10-01 14:00:00,281.797216632
2012-10-01 15:00:00,281.789832606
2012-10-01 16:00:00,281.78244858
2012-10-01 17:00:00,281.775064553
2012-10-01 18:00:00,281.767680527
2012-10-01 19:00:00,281.76029650099997
2012-10-01 20:00:00,281.752912474
2012-10-01 21:00:00,281.745528448
2012-10-01 22:00:00,281.738144422
2012-10-01 23:00:00,281.730760395
2012-10-02 00:00:00,281.723376369
2012-10-02 01:00:00,281.715992342
2012-10-02 02:00:00,281.708608316
2012-10-02 03:00:00,281.70122429
2012-10-02 04:00:00,281.69384026299997
2012-10-02 05:00:00,281.686456237
2012-10-02 06:00:00,281.679072211
2012-10-02 07:00:00,281.671688184
2012-10-02 08:00:00,281.664304158
2012-10-02 09:00:00,281.656920132
2012-10-02 10:00:00,281.649536105
2012-10-02 11:00:00,281.642152079
2012-10-02 12:00:00,281.634768053
2012-10-02 13:00:00,281.62738402599996
2012-10-02 14:00:00,281.62
2012-10-02 15:00:00,282.71
2012-10-02 16:00:00,285.05
2012-10-02 17:00:00,287.97
2012-10-02 18:00:00,290.61
2012-10-02 19:00:00,292.06
2012-10-02 20:00:00,293.68
2012-10-02 21:00:00,295.32
2012-10-02 22:00:00,295.18
2012-10-02 23:00:00,296.11
2012-10-03 00:00:00,295.24
2012-10-03 01:00:00,294.38
2012-10-03 02:00:00,292.28
2012-10-03 03:00:00,291.12
2012-10-03 04:00:00,289.93
2012-10-03 05:00:00,287.87
2012-10-03 06:00:00,287.14
2012-10-03 07:00:00,286.54
2012-10-03 08:00:00,286.16
2012-10-03 09:00:00,285.31
2012-10-03 10:00:00,284.3
2012-10-03 11:00:00,283.96
2012-10-03 12:00:00,283.595
2012-10-03 13:00:00,283.23
2012-10-03 14:00:00,283.5
2012-10-03 15:00:00,284.57
2012-10-03 16:00:00,285.64
2012-10-03 17:00:00,286.71
2012-10-03 18:00:00,287.42
2012-10-03 19:00:00,288.61
2012-10-03 20:00:00,289.13
2012-10-03 21:00:00,289.41
2012-10-03 22:00:00,289.18
2012-10-03 23:00:00,288.95
2012-10-04 00:00:00,288.79
2012-10-04 01:00:00,287.47
2012-10-04 02:00:00,286.01
2012-10-04 03:00:00,284.85
2012-10-04 04:00:00,283.91
2012-10-04 05:00:00,283.31
2012-10-04 06:00:00,283.07
2012-10-04 07:00:00,283.15
2012-10-04 08:00:00,282.51
2012-10-04 09:00:00,281.98
2012-10-04 10:00:00,281.49
2012-10-04 11:00:00,281.14
2012-10-04 12:00:00,280.59
2012-10-04 13:00:00,279.65
2012-10-04 14:00:00,279.15
2012-10-04 15:00:00,279.72
2012-10-04 16:00:00,282.4
2012-10-04 17:00:00,284.72
2012-10-04 18:00:00,286.03
2012-10-04 19:00:00,287.19
2012-10-04 20:00:00,288.68
2012-10-04 21:00:00,289.56
2012-10-04 22:00:00,290.05
2012-10-04 23:00:00,289.98
2012-10-05 00:00:00,289.6
2012-10-05 01:00:00,288.4
2012-10-05 02:00:00,286.38
2012-10-05 03:00:00,285.56
2012-10-05 04:00:00,284.45
2012-10-05 05:00:00,283.92
2012-10-05 06:00:00,283.25
2012-10-05 07:00:00,282.585
2012-10-05 08:00:00,281.92
2012-10-05 09:00:00,281.775
2012-10-05 10:00:00,281.63
2012-10-05 11:00:00,281.08
2012-10-05 12:00:00,280.64
2012-10-05 13:00:00,281.14
2012-10-05 14:00:00,280.08
2012-10-05 15:00:00,280.7
2012-10-05 16:00:00,282.98
2012-10-05 17:00:00,284.62
2012-10-05 18:00:00,286.61
2012-10-05 19:00:00,287.45
2012-10-05 20:00:00,289.22
2012-10-05 21:00:00,290.21
2012-10-05 22:00:00,289.94
2012-10-05 23:00:00,290.01
2012-10-06 00:00:00,289.85
2012-10-06 01:00:00,288.82
2012-10-06 02:00:00,287.6
2012-10-06 03:00:00,285.82
2012-10-06 04:00:00,284.58
2012-10-06 05:00:00,284.12
2012-10-06 06:00:00,283.63
2012-10-06 07:00:00,282.98
2012-10-06 08:00:00,282.68
2012-10-06 09:00:00,282.38
2012-10-06 10:00:00,281.77
2012-10-06 11:00:00,281.47
2012-10-06 12:00:00,281.06
2012-10-06 13:00:00,280.55
2012-10-06 14:00:00,280.65
2012-10-06 15:00:00,281.0
2012-10-06 16:00:00,283.49
2012-10-06 17:00:00,286.17
2012-10-06 18:00:00,287.58
2012-10-06 19:00:00,289.49
2012-10-06 20:00:00,292.11
2012-10-06 21:00:00,292.85
2012-10-06 22:00:00,292.69
2012-10-06 23:00:00,292.85
2012-10-07 00:00:00,292.05
2012-10-07 01:00:00,290.34
2012-10-07 02:00:00,288.05
2012-10-07 03:00:00,286.46
2012-10-07 04:00:00,285.37
2012-10-07 05:00:00,285.04
2012-10-07 06:00:00,284.383333333
2012-10-07 07:00:00,283.726666667
2012-10-07 08:00:00,283.07
2012-10-07 09:00:00,282.87
2012-10-07 10:00:00,280.77
2012-10-07 11:00:00,280.32
2012-10-07 12:00:00,280.01
2012-10-07 13:00:00,279.77
2012-10-07 14:00:00,279.54
2012-10-07 15:00:00,279.63
2012-10-07 16:00:00,282.48
2012-10-07 17:00:00,287.17
2012-10-07 18:00:00,289.47
2012-10-07 19:00:00,291.63
2012-10-07 20:00:00,293.42
2012-10-07 21:00:00,293.95
2012-10-07 22:00:00,294.78
2012-10-07 23:00:00,294.1
2012-10-08 00:00:00,293.62
2012-10-08 01:00:00,291.88
2012-10-08 02:00:00,290.03
