datetime,Vancouver
2012-10-01 13:00:00,284.63
2012-10-01 14:00:00,284.62904131
2012-10-01 15:00:00,284.626997923
2012-10-01 16:00:00,284.624954535
2012-10-01 17:00:00,284.622911147
2012-10-01 18:00:00,284.620867759
2012-10-01 19:00:00,284.61882437099996
2012-10-01 20:00:00,284.616780983
2012-10-01 21:00:00,284.614737595
2012-10-01 22:00:00,284.612694207
2012-10-01 23:00:00,284.610650819
2012-10-02 00:00:00,284.608607431
2012-10-02 01:00:00,284.606564043
2012-10-02 02:00:00,284.604520655
2012-10-02 03:00:00,284.602477267
2012-10-02 04:00:00,284.60043387900004
2012-10-02 05:00:00,284.598390491
2012-10-02 06:00:00,284.59634710299997
2012-10-02 07:00:00,284.594303716
2012-10-02 08:00:00,284.592260328
2012-10-02 09:00:00,284.59021694
2012-10-02 10:00:00,284.588173552
2012-10-02 11:00:00,284.586130164
2012-10-02 12:00:00,284.584086776
2012-10-02 13:00:00,284.582043388
2012-10-02 14:00:00,284.58
2012-10-02 15:00:00,284.85
2012-10-02 16:00:00,286.26
2012-10-02 17:00:00,286.77
2012-10-02 18:00:00,288.95
2012-10-02 19:00:00,289.51
2012-10-02 20:00:00,289.67
2012-10-02 21:00:00,290.29
2012-10-02 22:00:00,291.09
2012-10-02 23:00:00,291.18
2012-10-03 00:00:00,291.26
2012-10-03 01:00:00,290.62
2012-10-03 02:00:00,288.11
2012-10-03 03:00:00,287.21
2012-10-03 04:00:00,286.6
2012-10-03 05:00:00,285.96
2012-10-03 06:00:00,285.63
2012-10-03 07:00:00,284.71
2012-10-03 08:00:00,284.78
2012-10-03 09:00:00,284.24
2012-10-03 10:00:00,284.17
2012-10-03 11:00:00,283.25
2012-10-03 12:00:00,283.29
2012-10-03 13:00:00,283.35
2012-10-03 14:00:00,282.53
2012-10-03 15:00:00,282.83
2012-10-03 16:00:00,283.13
2012-10-03 17:00:00,283.43
2012-10-03 18:00:00,283.92
2012-10-03 19:00:00,285.06
2012-10-03 20:00:00,286.23
2012-10-03 21:00:00,286.73
2012-10-03 22:00:00,287.455
2012-10-03 23:00:00,288.18
2012-10-04 00:00:00,288.24
2012-10-04 01:00:00,286.5
2012-10-04 02:00:00,285.39
2012-10-04 03:00:00,284.26
2012-10-04 04:00:00,283.46
2012-10-04 05:00:00,283.74
2012-10-04 06:00:00,282.71
2012-10-04 07:00:00,282.44
2012-10-04 08:00:00,281.56
2012-10-04 09:00:00,281.42
2012-10-04 10:00:00,281.3
2012-10-04 11:00:00,280.97
2012-10-04 12:00:00,280.92
2012-10-04 13:00:00,280.91
2012-10-04 14:00:00,280.04
2012-10-04 15:00:00,280.15
2012-10-04 16:00:00,282.78
2012-10-04 17:00:00,284.38
2012-10-04 18:00:00,286.8
2012-10-04 19:00:00,288.56
2012-10-04 20:00:00,289.26
2012-10-04 21:00:00,289.36
2012-10-04 22:00:00,290.15
2012-10-04 23:00:00,289.66
2012-10-05 00:00:00,288.87
2012-10-05 01:00:00,287.18
2012-10-05 02:00:00,285.06
2012-10-05 03:00:00,283.93
2012-10-05 04:00:00,283.34
2012-10-05 05:00:00,282.68
2012-10-05 06:00:00,281.81
2012-10-05 07:00:00,281.23
2012-10-05 08:00:00,280.65
2012-10-05 09:00:00,280.325
2012-10-05 10:00:00,280.0
2012-10-05 11:00:00,279.86
2012-10-05 12:00:00,279.54
2012-10-05 13:00:00,278.57
2012-10-05 14:00:00,278.51
2012-10-05 15:00:00,278.91
2012-10-05 16:00:00,281.86
2012-10-05 17:00:00,282.78
2012-10-05 18:00:00,287.56
2012-10-05 19:00:00,288.12
2012-10-05 20:00:00,289.1
2012-10-05 21:00:00,289.53
2012-10-05 22:00:00,290.09
2012-10-05 23:00:00,290.67
2012-10-06 00:00:00,290.41
2012-10-06 01:00:00,288.83
2012-10-06 02:00:00,286.9
2012-10-06 03:00:00,285.3
2012-10-06 04:00:00,284.4
2012-10-06 05:00:00,283.59
2012-10-06 06:00:00,282.59
2012-10-06 07:00:00,282.29
2012-10-06 08:00:00,281.45
2012-10-06 09:00:00,280.61
2012-10-06 10:00:00,281.03
2012-10-06 11:00:00,280.97
2012-10-06 12:00:00,280.64
2012-10-06 13:00:00,280.18
2012-10-06 14:00:00,279.64
2012-10-06 15:00:00,279.54
2012-10-06 16:00:00,281.37
2012-10-06 17:00:00,284.48
2012-10-06 18:00:00,287.38
2012-10-06 19:00:00,289.94
2012-10-06 20:00:00,290.24
2012-10-06 21:00:00,290.61
2012-10-06 22:00:00,291.65
2012-10-06 23:00:00,291.78
2012-10-07 00:00:00,290.94
2012-10-07 01:00:00,289.96
2012-10-07 02:00:00,287.37
2012-10-07 03:00:00,286.74
2012-10-07 04:00:00,284.45
2012-10-07 05:00:00,284.12
2012-10-07 06:00:00,283.71
2012-10-07 07:00:00,283.3
2012-10-07 08:00:00,282.89
